name,display_name,publisher,repo,git_path,stars,license,archived,skills,mcp_servers,commands,rules,agents,hooks,cursor_manifest,agent_plugins_portable,portability_established,runs_in_claude,runs_in_codex,runs_in_copilot,runs_in_grok,runs_in_antigravity,runs_in_opencode,runs_in_kimi,runs_in_hermes,runs_in_devin,runs_in_tessl,runs_in_cortex,runs_in_minimax,runs_in_qoder,sign_in,sign_in_evidence,install,marketplace_url,install_verified,first_seen
opensearch-agent-skills,OpenSearch,OpenSearch,opensearch-project/opensearch-agent-skills,.,50,Apache-2.0,false,1,4,0,0,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin opensearch-agent-skills,https://cursor.com/marketplace/opensearch,true,2026-08-25
zscaler,Zscaler,Zscaler,zscaler/zscaler-mcp-server,.,50,MIT,false,0,2,20,7,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,token,runs locally and reads a key from the environment,/add-plugin zscaler,https://cursor.com/marketplace/zscaler,true,2026-08-25
arize-skills,Arize,Arize AI,Arize-ai/arize-skills,.,47,MIT,false,12,0,0,0,0,0,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin arize-skills,https://cursor.com/marketplace/arize-ai,true,2026-08-25
auth0,Auth0,Auth0,auth0/agent-skills,plugins/auth0,45,Apache-2.0,false,1,0,0,0,0,0,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin auth0,https://cursor.com/marketplace/auth0,true,2026-08-25
workos,WorkOS,WorkOS,workos/skills,plugins/workos,45,MIT,false,2,1,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin workos,https://cursor.com/marketplace/workos,true,2026-08-25
here.now,here.now,here.now,heredotnow/skill,.,42,,false,1,0,0,0,0,0,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin here.now,https://cursor.com/marketplace/here-now,true,2026-08-25
airtable,Airtable,Airtable,Airtable/skills,plugins/airtable,41,MIT,false,8,1,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin airtable,https://cursor.com/marketplace/airtable,true,2026-08-25
netlify-skills,Netlify,Netlify,netlify/context-and-tools,.,36,MIT,false,13,0,0,27,0,0,true,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin netlify-skills,https://cursor.com/marketplace/netlify,true,2026-08-25
roboflow,Roboflow,Roboflow,roboflow/computer-vision-skills,.,35,Apache-2.0,false,7,1,0,0,0,0,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin roboflow,https://cursor.com/marketplace/roboflow,true,2026-08-25
amplitude,Amplitude,Amplitude,amplitude/mcp-marketplace,plugins/amplitude,34,MIT,false,26,1,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin amplitude,https://cursor.com/marketplace/amplitude,true,2026-08-25
